Sample ID,SINLAB NOTES,SINLAB ID,DATE,Row,Amount,CO2 AMPL,N2 AMPL,d13C,d15N,%C,%N,C/N,Comment,Preparation,
NBE1-04,,18MICH 001,20-Jul-18,21,1.243,16.162,3.517,-27.82,10.01,46.14,13.11,3.52,,DELTA V-NC2500,
NBE1-09,,18MICH 002,20-Jul-18,22,1.086,13.637,3.091,-26.44,8.24,43.73,13.47,3.25,,DELTA V-NC2500,
NBE1-13,,18MICH 003,20-Jul-18,23,1.028,13.287,2.910,-28.66,10.25,45.10,13.41,3.36,,DELTA V-NC2500,
NBE1-14,,18MICH 004,20-Jul-18,24,0.813,10.910,2.334,-26.70,9.27,46.25,13.65,3.39,NR,DELTA V-NC2500,
NBE1-16,,18MICH 005,01-Aug-18,7,0.083,,0.249,,10.11,,13.95,,NR,DELTA V-NC2500,**lost carbon due to dilution setting
NBE1-17,,18MICH 006,20-Jul-18,29,0.932,12.248,2.684,-24.74,9.71,45.73,13.69,3.34,NR,DELTA V-NC2500,
NBE1-19,,18MICH 007,20-Jul-18,30,1.113,14.117,3.182,-28.42,10.30,44.59,13.58,3.28,,DELTA V-NC2500,
NBE1-19,,18MICH 007R,20-Jul-18,48,1.163,14.508,3.286,-28.45,10.33,43.94,13.42,3.27,,DELTA V-NC2500,
NBE1-25,,18MICH 008,01-Aug-18,8,0.393,,1.262,,9.94,,14.05,,NR,DELTA V-NC2500,**lost carbon due to dilution setting
NBE1-26,,18MICH 009,20-Jul-18,32,0.917,11.899,2.570,-29.68,10.45,45.13,13.35,3.38,NR,DELTA V-NC2500,
NBE1-38,,18MICH 010,20-Jul-18,33,0.654,8.248,1.586,-27.39,9.87,43.21,11.61,3.72,NR,DELTA V-NC2500,
NBE2-02,,18MICH 011,20-Jul-18,34,1.131,14.289,3.305,-27.75,7.02,44.53,13.89,3.21,,DELTA V-NC2500,
NBE2-05,,18MICH 012,01-Aug-18,7,0.041,0.177,0.132,-28.72,6.03,44.38,15.06,2.95,NR,DELTA V-NC2500,
NBE2-10,,18MICH 013,20-Jul-18,36,0.524,6.928,1.503,-28.55,7.18,45.14,13.74,3.29,NR,DELTA V-NC2500,
NBE2-13,,18MICH 014,01-Aug-18,8,0.105,0.414,0.310,-28.60,7.16,40.27,13.60,2.96,NR,DELTA V-NC2500,
NBE2-28,,18MICH 015,01-Aug-18,9,0.321,1.409,1.044,-29.28,7.16,45.38,14.33,3.17,NR,DELTA V-NC2500,
NBE2-29,,18MICH 016,20-Jul-18,39,0.891,11.516,2.582,-26.68,6.93,44.72,13.77,3.25,NR,DELTA V-NC2500,
NBE2-31,,18MICH 017,20-Jul-18,40,1.128,14.201,3.281,-28.73,7.27,44.18,13.79,3.20,,DELTA V-NC2500,
NBE2-34,,18MICH 018,01-Aug-18,10,0.230,0.994,0.741,-28.87,7.32,44.56,14.31,3.11,NR,DELTA V-NC2500,
NBE2-36,,18MICH 019,20-Jul-18,42,0.944,11.884,2.689,-28.64,7.35,43.55,13.50,3.22,NR,DELTA V-NC2500,
NBE3-03,,18MICH 020,20-Jul-18,43,1.101,13.552,3.118,-27.93,7.26,42.98,13.42,3.20,,DELTA V-NC2500,
NBE3-04,,18MICH 021,01-Aug-18,11,0.180,0.778,0.570,-27.33,7.29,44.70,14.21,3.15,NR,DELTA V-NC2500,
NBE3-05,,18MICH 022,01-Aug-18,12,0.302,1.346,0.993,-27.74,7.08,46.06,14.50,3.18,NR,DELTA V-NC2500,
NBE3-09,,18MICH 023,20-Jul-18,46,0.920,10.099,2.208,-29.22,6.74,37.87,11.45,3.31,NR,DELTA V-NC2500,
NBE3-08,,18MICH 024,20-Jul-18,47,0.614,8.037,1.749,-28.13,7.32,44.69,13.62,3.28,NR,DELTA V-NC2500,
NBE4-02,,18MICH 025,20-Jul-18,54,0.983,12.537,2.787,-26.54,11.02,44.50,13.51,3.29,,DELTA V-NC2500,
NBE4-02,,18MICH 025R,20-Jul-18,72,1.101,14.008,3.162,-26.34,11.31,44.76,13.68,3.27,,DELTA V-NC2500,
NBE4-07,,18MICH 026,20-Jul-18,55,1.175,15.056,3.323,-26.18,11.69,45.23,13.42,3.37,,DELTA V-NC2500,
NBE4-15,,18MICH 027,20-Jul-18,56,0.993,11.823,2.493,-27.34,10.03,41.37,11.95,3.46,,DELTA V-NC2500,
NBE4-28,label reads NBE4-18,18MICH 028,01-Aug-18,13,0.156,0.665,0.496,-25.84,11.18,43.89,14.30,3.07,NR,DELTA V-NC2500,
NBE4-20,,18MICH 029,20-Jul-18,58,1.033,13.658,2.890,-24.88,11.72,46.35,13.30,3.49,,DELTA V-NC2500,
NBE4-27,,18MICH 030,20-Jul-18,59,0.985,12.853,2.883,-26.79,11.16,45.57,13.92,3.27,NR,DELTA V-NC2500,
NBE5-07,,18MICH 031,20-Jul-18,60,0.982,12.737,2.831,-28.23,8.38,45.22,13.71,3.30,,DELTA V-NC2500,
NBE5-12,,18MICH 032,01-Aug-18,14,0.403,1.693,1.244,-27.37,7.92,43.36,13.50,3.21,NR,DELTA V-NC2500,
NBE5-14,,18MICH 033,20-Jul-18,62,1.155,14.965,3.305,-28.26,8.07,45.77,13.62,3.36,"NR, DC",DELTA V-NC2500,
NBE5-20,,18MICH 034,20-Jul-18,63,0.992,12.439,2.763,-28.55,8.64,43.73,13.25,3.30,,DELTA V-NC2500,
NBE5-23,,18MICH 035,20-Jul-18,64,1.003,12.805,2.865,-28.33,9.32,44.62,13.60,3.28,,DELTA V-NC2500,
NBE5-34,,18MICH 036,20-Jul-18,65,1.008,13.047,2.921,-28.39,8.51,45.21,13.79,3.28,,DELTA V-NC2500,
NBE5-37,,18MICH 037,20-Jul-18,66,1.053,13.249,3.023,-27.71,7.87,44.01,13.64,3.23,,DELTA V-NC2500,
NBE5-38,,18MICH 038,20-Jul-18,67,0.762,10.225,2.266,-27.68,7.82,46.28,14.20,3.26,NR,DELTA V-NC2500,
NBE5-44,,18MICH 039,20-Jul-18,68,0.564,7.546,1.587,-28.28,8.36,45.80,13.46,3.40,NR,DELTA V-NC2500,
NBE5-48,,18MICH 040,20-Jul-18,69,1.071,12.305,2.786,-28.33,8.01,40.05,12.40,3.23,,DELTA V-NC2500,
NBE6-03,,18MICH 041,20-Jul-18,70,1.150,15.221,3.401,-27.89,8.52,46.80,14.06,3.33,,DELTA V-NC2500,
NBE6-11,,18MICH 042,20-Jul-18,71,1.163,15.225,3.428,-25.98,7.95,46.24,14.01,3.30,,DELTA V-NC2500,
NBE6-22,,18MICH 043,20-Jul-18,77,1.116,14.508,3.304,-26.19,8.07,45.95,14.10,3.26,,DELTA V-NC2500,
NBE6-22,,18MICH 043R,20-Jul-18,95,1.054,13.120,2.940,-26.19,7.93,43.69,13.31,3.28,DC,DELTA V-NC2500,
NBE6-23,,18MICH 044,20-Jul-18,78,1.130,13.028,2.767,-27.37,8.24,40.33,11.67,3.46,,DELTA V-NC2500,
NBE6-24,,18MICH 045,20-Jul-18,79,1.016,13.880,2.877,-26.73,8.33,47.94,13.46,3.56,,DELTA V-NC2500,
NBE6-25,,18MICH 046,20-Jul-18,80,1.069,14.072,2.966,-26.84,8.22,46.29,13.22,3.50,,DELTA V-NC2500,
NBI1-03,,18MICH 047,01-Aug-18,15,0.475,2.068,1.526,-29.31,6.76,45.10,13.98,3.23,NR,DELTA V-NC2500,
NBI1-06,,18MICH 048,20-Jul-18,82,1.067,13.364,3.063,-28.97,6.53,43.99,13.67,3.22,,DELTA V-NC2500,
NBI1-07,,18MICH 049,20-Jul-18,83,0.818,10.662,2.369,-29.19,7.23,45.17,13.83,3.27,NR,DELTA V-NC2500,
NBI1-09,,18MICH 050,20-Jul-18,84,1.081,12.594,2.834,-29.08,7.19,40.74,12.50,3.26,,DELTA V-NC2500,
NBI1-10,,18MICH 051,20-Jul-18,85,1.061,12.322,2.780,-28.94,7.27,40.52,12.50,3.24,,DELTA V-NC2500,
NBI1-11,,18MICH 052,20-Jul-18,86,1.029,13.179,2.830,-29.21,6.92,44.96,13.11,3.43,,DELTA V-NC2500,
NBI1-13,,18MICH 053,20-Jul-18,87,0.704,8.928,1.986,-27.67,7.27,43.69,13.53,3.23,NR,DELTA V-NC2500,
NBI1-15,,18MICH 054,20-Jul-18,88,1.021,12.351,2.776,-29.10,7.00,42.21,12.97,3.25,,DELTA V-NC2500,
NBI1-24,,18MICH 055,20-Jul-18,89,0.693,9.024,1.979,-28.52,7.14,44.81,13.67,3.28,NR,DELTA V-NC2500,
NBI2-04,,18MICH 056,20-Jul-18,90,1.014,12.818,2.898,-28.60,7.20,44.29,13.63,3.25,,DELTA V-NC2500,
NBI2-07,,18MICH 057,20-Jul-18,91,1.064,13.822,3.024,-29.31,6.57,45.66,13.55,3.37,,DELTA V-NC2500,
NBI2-09,,18MICH 058,20-Jul-18,92,1.050,11.760,2.666,-30.15,7.45,39.10,12.13,3.22,,DELTA V-NC2500,
NBI2-11,,18MICH 059,20-Jul-18,93,0.990,13.118,2.872,-29.86,7.17,46.46,13.84,3.36,,DELTA V-NC2500,
NBI2-12,,18MICH 060,20-Jul-18,94,1.122,14.206,3.317,-29.95,6.99,44.68,14.09,3.17,,DELTA V-NC2500,
